Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,2697,4793,7050,12497,12409,24961,44218,82158,103345
1,200,200.000,2076,3684,5054,6127,7820,10683,12598,21083,26423
2,200,200.000,1754,2815,4428,5367,7197,9387,10810,20621,22843
3,200,200.000,1639,2564,3707,4729,6470,8509,9732,12875,13817
4,200,200.000,1688,2405,3895,4464,5816,8004,9413,12618,13002
