Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,906,906.000,1888,11952,20987,26867,35028,49043,68371,119397,148160
1,1243,1243.000,1429,8267,16883,19216,28689,35491,38968,58582,130380
2,1373,1373.000,1207,7933,13076,17462,25527,33825,38210,53242,87431
3,1363,1363.000,987,7516,14553,17570,25698,34124,38524,53971,81212
4,1360,1360.000,758,7536,13525,17207,26078,32961,36270,51475,76544
