Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,925,925.000,2650,14761,22308,26177,31598,45919,62398,102524,129409
1,1260,1260.000,1563,10704,17941,18980,25846,32464,37400,45898,78101
2,1266,1266.000,1382,10918,17693,19059,25818,32371,37220,46640,59864
3,1349,1349.000,976,9599,15992,17668,23896,31350,36492,47441,86117
4,1308,1308.000,1035,8902,14947,16485,23068,30217,34039,42175,59266
