Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,921,921.000,1050,11344,19498,26382,33189,46259,71959,140669,189040
1,1316,1316.000,1040,7802,14223,18211,26352,36347,42814,64409,106574
2,1359,1359.000,1035,7867,14310,17577,26210,33599,37616,49829,75425
3,1353,1353.000,628,7782,14106,17754,27092,34480,38882,54912,82292
4,1427,1427.000,664,6052,11477,16217,24555,34884,40859,57936,87072
