Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,896,896.000,2100,16257,24172,27022,32538,44580,58487,103991,146884
1,1227,1227.000,1577,10166,17018,19486,26053,35391,40504,57437,124861
2,1301,1301.000,2300,10474,17281,18524,24521,31347,35267,52162,86781
3,1302,1302.000,890,10217,17001,18438,24824,32318,36683,50171,67280
4,1313,1313.000,599,9771,16589,17767,23847,30933,34827,44403,62974
