Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,770,770.000,2866,18030,26900,31577,38142,53423,68537,132554,199091
1,1082,1082.000,1425,13623,20862,22109,28793,37012,42885,55328,67781
2,1170,1170.000,1921,11654,18982,20540,28098,36213,41669,54753,74816
3,1197,1197.000,1208,11945,18680,19927,26348,33739,39047,51693,64878
4,1233,1233.000,1343,11910,17956,19041,25188,32488,37343,44282,65375
