Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,780,780.000,3121,16603,26157,31275,38427,54101,69717,134256,189087
1,1126,1126.000,1650,12838,19519,21180,28285,36239,40833,49833,96665
2,1154,1154.000,1638,11213,18505,20850,28284,38719,45243,56909,69588
3,1210,1210.000,1413,10764,18280,19703,25858,35662,41033,60038,78153
4,1162,1162.000,1708,11423,18714,20117,26864,34820,39567,49904,68772
