Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,2395,3685,5223,7953,8007,15820,24800,40098,67052
1,200,200.000,1714,2803,3656,4420,5718,7002,8276,15737,17012
2,200,200.000,1152,2298,2933,3782,5226,6399,7706,9193,11620
3,200,200.000,1361,2086,2906,3689,5081,5971,7177,10374,16521
4,198,198.000,1282,2016,2977,3681,5355,6245,7322,10121,11303
