Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,2438,4802,6838,12580,12069,29053,54770,71671,78057
1,200,200.000,1753,3124,4583,5629,7373,10666,12150,14879,19779
2,200,200.000,1768,2802,4576,5086,6578,8071,10508,18591,19592
3,200,200.000,1295,2623,4200,4711,6238,7638,8667,13277,27793
4,200,200.000,1450,2430,3659,4323,5798,7634,8953,9783,11516
