Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,2079,4071,5755,11875,10900,24881,52505,79632,111164
1,200,200.000,1743,3025,4266,5005,6425,8403,9480,14784,19677
2,200,200.000,1488,2724,4196,4726,6237,7640,8593,16998,24190
3,200,200.000,1526,2296,3672,4358,5937,7755,8680,11664,25585
4,199,199.000,1495,2271,3300,4258,5980,7269,8528,12513,26874
