Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,786,786.000,2428,14556,24583,31166,40394,57909,78741,140670,176076
1,1117,1117.000,1435,11906,19296,21245,28303,37640,44080,56004,81118
2,1227,1227.000,1417,11070,18232,19499,26280,33736,39090,46600,64217
3,1412,1412.000,1543,9278,15995,17000,23159,30001,34982,43440,58364
4,1388,1388.000,1001,9538,15999,16918,22637,28704,34202,43751,54461
