Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,924,924.000,945,12324,21295,26208,34211,47296,65129,105562,147897
1,1307,1307.000,859,7271,14778,18488,26924,37818,43966,64673,108790
2,1404,1404.000,802,4832,11237,17079,25794,41260,48868,64672,125405
3,1431,1431.000,611,4848,10846,16655,23998,40373,49708,67606,86990
4,1383,1383.000,590,4964,11205,16758,24936,39350,46464,62110,89903
