Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,1734,2920,3787,5260,5610,9508,12699,22762,43318
1,200,200.000,966,2091,2715,3010,3749,4243,4798,10442,12543
2,200,200.000,999,1776,2497,2778,3635,4201,4633,6472,6527
3,200,200.000,926,1591,2324,2563,3281,3935,4182,7760,16430
4,200,200.000,868,1548,2218,2454,3270,3843,4126,6104,6384
