Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,681,681.000,2264,15939,29949,35778,47773,67788,97144,126950,185072
1,1085,1085.000,1675,10961,18995,21775,29570,41257,47790,63896,108074
2,1195,1195.000,1624,11351,18948,20128,26593,35021,40531,53564,69883
3,1253,1253.000,1221,9256,15071,19510,22758,31651,36732,51119,1030186
4,1240,1240.000,1099,9101,16524,17895,24338,32307,37377,48442,63360
