Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,820,820.000,2444,16841,25329,29361,37248,51356,65434,102834,122691
1,1200,1200.000,2078,11975,18184,19941,25835,33740,39552,52020,106263
2,1214,1214.000,1817,11261,18346,19696,26276,34650,39512,48672,58581
3,1263,1263.000,1216,10753,17052,19056,25737,33448,39106,52404,71800
4,1290,1290.000,1598,10328,16763,18120,24148,31130,36490,48282,94360
