Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,2890,5121,7901,15204,12115,45086,68390,85721,95606
1,200,200.000,1505,3420,4628,5592,6974,9873,10937,21297,25249
2,200,200.000,1590,2693,3574,4680,5854,8094,9959,19723,25373
3,200,200.000,1491,1913,2960,3343,4656,5568,5984,7782,7969
4,200,200.000,1233,1843,2823,3357,4661,5473,5783,9387,12899
