Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,2007,4639,7877,12738,12337,21990,52179,84825,102956
1,200,200.000,1295,3609,5408,5946,7640,9238,10962,18369,19645
2,200,200.000,1575,2765,3916,4816,6532,7971,10492,14325,15020
3,200,200.000,1792,2514,3855,4397,5943,7699,8589,9995,12492
4,199,199.000,1517,2293,3415,4372,6047,7585,8635,13444,21892
