Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,1990,5030,6753,11675,10671,22647,42336,73798,98274
1,200,200.000,1879,3243,4950,5720,7594,9406,11577,16288,18094
2,200,200.000,1655,2818,4113,4996,6611,8560,10391,15832,20023
3,200,200.000,1381,2600,4097,4861,6436,8918,9905,19252,27550
4,200,200.000,865,2361,3968,4493,6217,8490,9187,10893,11017
