Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,945,945.000,1150,10384,18258,25531,33011,53134,64194,136375,191632
1,1398,1398.000,1054,4927,11187,17217,24754,40738,50869,71873,92459
2,1500,1500.000,926,4394,9774,15898,23852,37829,47321,67796,85228
3,1493,1493.000,713,4608,10566,16071,23914,39212,47980,61708,98497
4,1528,1528.000,559,4113,8975,15206,21348,38760,47606,70279,110028
