Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,1860,3184,4542,8805,6605,20405,39515,77639,81248
1,200,200.000,1547,2387,3402,3791,4860,5791,6229,12618,15548
2,200,200.000,1398,1889,2767,3083,4090,5014,5385,7289,8062
3,200,200.000,1252,1541,2082,2719,3705,4768,5011,7908,12939
4,200,200.000,1050,1467,1978,2598,3690,4430,4744,6269,8556
