Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1004,1004.000,2140,12107,20229,24245,29115,40721,53671,129259,151613
1,1358,1358.000,1716,7610,15737,17485,24848,32236,35805,55327,79241
2,1449,1449.000,1075,7702,13779,16548,23267,32103,36847,51659,73844
3,1519,1519.000,1263,7343,12548,15839,22527,32386,37540,48098,58248
4,1477,1477.000,888,7419,12806,15703,22415,30534,35352,46068,75352
