Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,881,881.000,2713,13930,23244,27677,33297,42761,61666,136486,182981
1,1247,1247.000,2495,8495,16305,19096,28607,35165,38467,56270,79815
2,1276,1276.000,1518,8835,15373,18767,26111,37745,43474,51420,97260
3,1354,1354.000,2264,8087,15507,17714,25613,32821,37177,46266,117811
4,1346,1346.000,1592,7824,15092,17377,24270,32549,37933,55277,80255
