Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,698,698.000,3250,18620,28307,34852,40529,57597,88899,161306,197323
1,1124,1124.000,1922,12708,19666,21324,27706,36837,44043,60410,84913
2,1167,1167.000,1867,11692,19102,20449,27110,35489,40487,57920,72147
3,1309,1309.000,1014,4826,12761,18329,27689,43346,51492,62278,88906
4,1263,1263.000,678,7634,15184,18451,26294,38123,46527,63408,86361
