Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1066,1066.000,1257,6316,14130,23011,29436,53770,74068,148134,183359
1,1409,1409.000,968,5833,10719,16852,24836,36946,45215,71118,151789
2,1489,1489.000,563,6666,11547,16080,23364,33617,38875,56847,71490
3,1441,1441.000,649,6417,11638,16601,24265,33655,39805,66222,108128
4,1484,1484.000,703,6858,12264,15650,23337,30493,33257,45304,66009
