Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,919,919.000,1847,12192,21337,26402,34159,46766,60006,122720,144423
1,1295,1295.000,1266,7902,14879,18434,26712,36300,39960,58473,78963
2,1361,1361.000,1147,7428,14393,17607,26452,35045,40221,49575,70704
3,1354,1354.000,940,7334,13406,17618,26394,35414,40238,53189,90472
4,1335,1335.000,981,7215,14402,17540,26725,33786,37060,55847,69061
