Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,941,941.000,1234,11701,21612,25803,33988,46983,58394,108698,142928
1,1259,1259.000,749,7698,14325,19057,27091,40041,48466,68436,123616
2,1344,1344.000,862,7540,13709,17867,26663,37259,43570,56394,95794
3,1361,1361.000,795,7494,13816,17645,26349,36281,42327,53604,73050
4,1358,1358.000,537,7025,13313,17138,25274,36298,42097,53839,71219
