Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,857,857.000,1706,10185,19416,28258,37460,56487,84481,150949,217352
1,1214,1214.000,1316,8400,14623,20139,29552,38548,43538,79167,162778
2,1279,1279.000,851,6632,11679,18388,27369,39982,50033,67825,135831
3,1318,1318.000,1123,7840,12296,18216,27000,37001,41665,59622,119049
4,1326,1326.000,726,7467,12373,17574,26032,35163,40301,64544,95464
