Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,931,931.000,1131,12455,21601,26276,34091,47542,60314,113877,147161
1,1305,1305.000,846,8016,14447,18254,26700,35982,41584,60389,96129
2,1317,1317.000,832,7559,14144,18147,26194,36001,41389,55775,143632
3,1329,1329.000,730,7649,14669,18142,27253,35658,39542,55557,127108
4,1324,1324.000,863,7526,14684,17594,26882,34148,37250,47275,72255
