Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,974,974.000,1174,7482,17322,24945,33387,50728,67651,155160,196343
1,1394,1394.000,923,4348,10122,17226,25455,42494,51242,76673,140897
2,1491,1491.000,860,4348,10068,16030,23089,38955,48956,63850,102782
3,1514,1514.000,649,4062,9716,15768,23448,38872,46991,63023,104071
4,1475,1475.000,599,4028,9057,15846,23809,39790,49054,67731,97696
