Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,2165,5052,7344,12909,12429,26317,40341,90835,106934
1,200,200.000,1563,3467,4854,5508,6994,9225,12046,14532,20240
2,200,200.000,1630,2893,4448,4968,6609,8376,10162,15259,16518
3,200,200.000,1498,2623,4259,4822,6531,8466,9193,14698,15363
4,199,199.000,1440,2347,4036,4651,6364,8130,8914,17979,23890
