Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,804,804.000,1516,11239,23545,30442,38842,65995,86941,128831,192399
1,1187,1187.000,1176,6850,14232,19993,28923,44053,54077,73482,176931
2,1132,1132.000,1108,7683,15495,21387,29782,47365,60913,83325,150074
3,1215,1215.000,1113,7961,15496,19647,27806,38926,47630,76248,102878
4,1205,1205.000,759,7054,14782,19184,25912,41936,52734,71453,112253
