Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,4061,13899,44083,70635,98009,188783,206661,274158,352191
1,200,200.000,3073,4685,7073,8437,10732,13614,18680,29738,42122
2,200,200.000,2434,3739,5572,5956,8192,9593,10134,12482,12832
3,200,200.000,2078,2977,4646,5160,6793,8659,9594,13274,25398
4,200,200.000,2095,2652,4920,5603,7988,9290,11579,22020,35885
