Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,941,941.000,1034,7243,16828,25770,35036,61300,79580,117969,144716
1,1267,1267.000,905,7904,13439,18919,28140,36286,41277,78571,163193
2,1317,1317.000,771,7924,15258,18179,27568,34638,38267,53036,114348
3,1366,1366.000,700,7046,11494,17684,26771,35733,40517,71453,135699
4,1366,1366.000,475,4409,9952,16876,24650,42174,50603,77778,119436
