Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,201,201.000,2396,4832,6714,13407,10268,29358,64576,115127,122636
1,200,200.000,1534,3718,5047,5752,7324,9161,10672,18705,27340
2,200,200.000,1482,2973,4351,4950,6557,8222,9762,13795,18740
3,200,200.000,1695,2611,3252,4348,5990,7843,8869,10598,14127
4,200,200.000,1514,2355,3533,4396,6040,7571,8812,20014,21800
