Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,744,744.000,2184,17916,28431,32634,40271,54275,69312,136038,268636
1,1123,1123.000,1610,12223,20136,21364,28777,36166,41469,55287,93407
2,1175,1175.000,1042,11420,18728,20460,27558,36236,41419,56634,91805
3,1164,1164.000,1131,11658,19629,20719,27262,36294,40466,53335,123482
4,1309,1309.000,1194,10358,16369,17700,23643,30678,35290,46588,60000
