Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,780,780.000,1392,13512,25880,31127,41905,61091,79269,129849,150957
1,1190,1190.000,1310,8982,16936,20088,28899,37334,41298,64614,125424
2,1259,1259.000,1049,7193,14275,19173,28531,40677,48618,68884,102474
3,1326,1326.000,985,8040,13450,18063,26609,35611,40732,53342,92764
4,1286,1286.000,722,7422,12948,18048,27339,37557,43078,58740,86825
