Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,881,881.000,3271,14898,23444,27692,33168,45003,62402,137969,166691
1,1226,1226.000,1767,9199,16575,19439,26020,36043,43508,63193,140544
2,1231,1231.000,1358,10109,16368,19506,26605,36376,42045,58206,82223
3,1279,1279.000,1167,9105,15977,18723,25400,36063,42510,51186,89088
4,1372,1372.000,1181,8109,13880,16948,23824,32536,37829,53712,67509
