Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,902,902.000,1478,9801,19657,27093,35372,53956,74503,128509,205061
1,1299,1299.000,1120,5537,10720,18354,26664,42965,57797,85237,138863
2,1409,1409.000,1145,6291,10300,17025,23526,36785,48283,78547,145883
3,1459,1459.000,677,4635,9094,16457,22546,40831,54100,86241,132163
4,1397,1397.000,794,4723,9094,16450,23032,41742,52731,74820,150244
